1712,1712,0,0,AGGREGATED,637568.02,534,15244.28,15718.78,2.01,0.00,0.00,67589.00,368680.17,5.79,0.42,1712,1712,21374,21374,0,0
3208,3208,0,0,AGGREGATED,2385213.61,534,29415.70,29566.46,6.52,0.01,0.00,561366.42,1848291.46,3.08,0.22,3208,3208,42178,42178,0,0
4708,4708,0,0,AGGREGATED,3806111.26,534,31201.81,31311.99,8.35,0.01,0.00,836797.05,2998023.47,2.91,0.21,4708,4708,62911,62911,0,0
6200,6200,0,0,AGGREGATED,5901625.49,534,35914.84,35909.22,8.98,0.01,0.00,1506404.85,4810277.04,2.53,0.18,6200,6200,84412,84399,0,0,8
7692,7692,0,0,AGGREGATED,9173555.76,534,44399.33,44184.44,10.23,0.01,0.00,3163911.87,7793346.37,2.06,0.15,7692,7691,105560,105456,0,0,43
9192,9192,0,0,AGGREGATED,11696552.48,534,46814.27,46552.42,10.46,0.01,0.00,4011059.97,10022995.94,1.96,0.14,9192,9187,127456,127378,0,0,31
10684,10684,0,0,AGGREGATED,16317063.56,534,55330.61,54823.31,11.17,0.01,0.01,7134652.41,14331884.08,1.66,0.12,10684,10678,151536,151129,0,0,136
1712,1712,0,0,AGGREGATED,531085.82,534,12922.71,13202.63,1.68,0.00,0.00,70562.00,264586.07,6.89,0.50,1712,1712,21220,21220,0,0
3208,3208,0,0,AGGREGATED,1805535.07,534,22744.13,22850.86,5.19,0.00,0.00,406804.44,1279593.04,3.98,0.29,3208,3208,41651,41651,0,0
4708,4708,0,0,AGGREGATED,4020522.63,534,33282.25,33101.79,9.54,0.01,0.00,1383204.68,3212693.26,2.75,0.20,4708,4708,62952,62951,0,0,1
6200,6200,0,0,AGGREGATED,6514777.26,534,39951.12,39630.97,11.38,0.01,0.01,2793701.86,5422810.40,2.30,0.17,6200,6200,84400,84217,0,0,37
7692,7692,0,0,AGGREGATED,8335166.94,534,41726.64,41346.45,11.69,0.01,0.01,3578809.64,6994641.39,2.20,0.16,7692,7687,104909,104713,0,0,66
9192,9192,0,0,AGGREGATED,11520753.21,534,47492.93,46952.44,11.10,0.01,0.01,5459409.26,9886471.48,1.94,0.14,9192,9183,125912,125799,0,0,68
10684,10684,0,0,AGGREGATED,15776521.27,534,54443.44,53773.47,12.49,0.01,0.01,7747991.05,13818803.97,1.69,0.12,10684,10672,150568,150229,0,0,157
1712,1712,0,0,AGGREGATED,522083.87,534,12825.52,13017.14,1.59,0.00,0.00,81666.00,256289.07,6.99,0.50,1712,1712,21244,21244,0,0
3208,3208,0,0,AGGREGATED,1644442.71,534,20797.38,20837.25,4.68,0.00,0.00,419903.00,1119244.85,4.37,0.31,3208,3208,41767,41767,0,0
4708,4708,0,0,AGGREGATED,3666357.25,534,30184.64,29960.48,9.63,0.01,0.00,1467836.00,2852872.98,3.04,0.22,4708,4706,63757,63723,0,0,15
6200,6200,0,0,AGGREGATED,5511466.43,534,34016.17,33730.75,10.53,0.01,0.00,2141985.53,4425907.23,2.70,0.19,6200,6200,84184,84147,0,0,20
7692,7692,0,0,AGGREGATED,7405381.63,534,37268.40,36919.77,10.67,0.01,0.00,2925941.02,6071198.52,2.47,0.18,7692,7692,105118,105089,0,0,17
9192,9192,0,0,AGGREGATED,16091221.74,534,67140.87,65978.00,16.95,0.02,0.01,10543265.42,14465255.41,1.38,0.10,9192,9184,127095,125841,0,0,561
10684,10684,0,0,AGGREGATED,20485726.52,534,73475.86,72084.93,17.11,0.02,0.01,13869153.85,18588335.58,1.26,0.09,10684,10680,150362,148069,0,0,817
1712,1712,0,0,AGGREGATED,505767.28,534,12490.35,12624.88,1.55,0.00,0.00,95711.00,240393.60,7.21,0.52,1712,1712,21194,21194,0,0
3208,3208,0,0,AGGREGATED,1524801.04,534,19696.57,19647.78,4.34,0.00,0.00,500993.00,1008443.59,4.63,0.33,3208,3208,40829,40824,0,0,4
4708,4708,0,0,AGGREGATED,3015762.05,534,25771.15,25567.08,8.25,0.01,0.00,1130113.00,2231496.99,3.56,0.26,4708,4708,61815,61796,0,0,11
6200,6200,0,0,AGGREGATED,4355515.88,534,27580.00,27327.32,11.55,0.01,0.01,1766114.09,3297089.01,3.33,0.24,6200,6200,83033,83030,0,0,3
7692,7692,0,0,AGGREGATED,6416403.87,534,32298.38,31915.96,11.21,0.01,0.01,2998585.92,5079752.16,2.85,0.21,7692,7692,104092,104062,0,0,19
9192,9192,0,0,AGGREGATED,8613141.02,534,36456.88,35964.54,11.71,0.01,0.01,4346140.00,7017731.13,2.53,0.18,9192,9192,125205,125055,0,0,80
10684,10684,0,0,AGGREGATED,16729763.70,534,60228.19,59079.98,16.75,0.02,0.01,11315123.00,14839372.76,1.54,0.11,10684,10684,149023,147554,0,0,686
1712,1712,0,0,AGGREGATED,675399.03,534,16093.57,16554.42,2.14,0.00,0.00,134390.00,404738.00,5.50,0.40,1712,1712,21649,21649,0,0
3208,3208,0,0,AGGREGATED,2429185.65,534,29546.46,29687.57,6.23,0.01,0.00,701925.46,1884304.05,3.07,0.22,3208,3208,42460,42454,0,0,2
4708,4708,0,0,AGGREGATED,4145705.05,534,33335.57,33410.71,10.03,0.01,0.00,1031683.00,3320677.90,2.72,0.20,4708,4708,63896,63894,0,0,1
6200,6200,0,0,AGGREGATED,6186117.83,534,37652.08,37595.41,8.13,0.01,0.00,1845271.00,5093644.59,2.42,0.17,6200,6200,84476,84441,0,0,16
7692,7692,0,0,AGGREGATED,11637313.02,534,56462.98,55941.87,14.48,0.01,0.01,5460007.86,10254423.61,1.63,0.12,7692,7692,106743,105906,0,0,244
9192,9192,0,0,AGGREGATED,13051444.80,534,52291.21,51892.90,12.42,0.01,0.01,5279190.32,11376729.82,1.75,0.13,9192,9191,127140,126952,0,0,55
10684,10684,0,0,AGGREGATED,17981854.13,534,62559.02,61898.35,13.36,0.01,0.01,8837191.20,16044676.61,1.47,0.11,10684,10683,149995,149365,0,0,238
1712,1712,0,0,AGGREGATED,658844.58,534,16094.81,16294.68,2.02,0.00,0.00,177856.00,390866.78,5.59,0.40,1712,1712,21380,21380,0,0
3208,3208,0,0,AGGREGATED,2427843.41,534,29882.30,29757.84,6.79,0.01,0.00,1002311.00,1884166.48,3.06,0.22,3208,3208,42966,42923,0,0,20
4708,4708,0,0,AGGREGATED,4232782.57,534,34578.18,34374.09,9.29,0.01,0.00,1702993.75,3413766.52,2.65,0.19,4708,4708,63547,63542,0,0,4
6200,6200,0,0,AGGREGATED,6115098.40,534,37185.11,36941.71,10.26,0.01,0.00,2417645.00,5015285.54,2.46,0.18,6200,6200,84791,84733,0,0,21
7692,7692,0,0,AGGREGATED,8460577.97,534,41957.31,41583.15,11.77,0.01,0.01,3655503.91,7106981.28,2.19,0.16,7692,7691,105883,105811,0,0,35
9192,9192,0,0,AGGREGATED,13578677.03,534,55056.50,54363.35,15.34,0.01,0.01,6588367.76,11913668.74,1.67,0.12,9192,9180,128845,128599,0,0,110
10684,10684,0,0,AGGREGATED,19435730.17,534,65375.91,64464.18,16.33,0.02,0.01,11217944.29,17422359.58,1.41,0.10,10684,10583,153365,152105,0,0,485
1712,1712,0,0,AGGREGATED,638567.01,534,15698.03,15803.91,1.90,0.00,0.00,195446.00,370731.00,5.76,0.41,1712,1712,21371,21371,0,0
3208,3208,0,0,AGGREGATED,2073759.65,534,25775.67,25683.06,5.87,0.01,0.00,717032.00,1535893.03,3.54,0.26,3208,3208,42467,42467,0,0
4708,4708,0,0,AGGREGATED,3977247.57,534,32593.09,32343.62,10.22,0.01,0.00,1568073.93,3159253.18,2.81,0.20,4708,4708,63918,63915,0,0,2
6200,6200,0,0,AGGREGATED,6319395.79,534,39511.88,39070.19,11.38,0.01,0.01,2965442.00,5244685.15,2.33,0.17,6200,6197,84062,84019,0,0,29
7692,7692,0,0,AGGREGATED,10399474.62,534,51816.69,51039.55,11.82,0.01,0.01,6036857.66,9043509.69,1.78,0.13,7692,7691,106358,105946,0,0,175
9192,9192,0,0,AGGREGATED,12259167.37,534,50874.44,50108.92,13.13,0.01,0.01,7086577.80,10627058.56,1.82,0.13,9192,9192,128188,127763,0,0,223
10684,10684,0,0,AGGREGATED,14241870.62,534,51445.77,50674.40,11.50,0.01,0.01,7962239.63,12365608.82,1.80,0.13,10684,10684,147642,147102,0,0,275
1712,1712,0,0,AGGREGATED,609676.02,534,15061.09,15086.09,1.82,0.00,0.00,208729.00,341676.70,6.03,0.43,1712,1712,21397,21397,0,0
3208,3208,0,0,AGGREGATED,2121478.53,534,26604.70,26357.24,6.00,0.01,0.00,985568.00,1585186.31,3.45,0.25,3208,3208,42061,42051,0,0,5
4708,4708,0,0,AGGREGATED,3622915.87,534,30264.02,29954.97,7.63,0.01,0.00,1596285.15,2818033.50,3.04,0.22,4708,4708,62754,62743,0,0,8
6200,6200,0,0,AGGREGATED,6533653.20,534,41704.96,41052.40,11.08,0.01,0.01,3780980.00,5476282.05,2.22,0.16,6200,6200,83482,83098,0,0,170
7692,7692,0,0,AGGREGATED,8107828.11,534,40640.26,40034.03,13.26,0.01,0.01,4486607.00,6760360.54,2.27,0.16,7692,7692,105401,105316,0,0,48
9192,9192,0,0,AGGREGATED,12853328.05,534,52033.48,51159.87,15.59,0.01,0.01,7847747.45,11177404.86,1.78,0.13,9192,9192,129670,129264,0,0,195
10684,10684,0,0,AGGREGATED,12899803.78,534,46514.52,45738.85,12.83,0.01,0.01,7642100.33,11016637.04,1.99,0.14,10684,10684,147183,146916,0,0,158
loaded,inserted,running,waiting,id,sampledSeconds,numEdges,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo
