1712,1712,0,0,AGGREGATED,467989.11,459,12841.32,13314.35,1.70,0.00,0.00,40105.00,266004.66,5.93,0.43,1486,1488,15440,15438,0,0
3208,3208,0,0,AGGREGATED,1995378.90,459,26610.88,26757.35,6.29,0.01,0.00,467961.42,1565821.88,2.95,0.21,2847,2844,32925,32928,0,0
4708,4708,0,0,AGGREGATED,2996186.70,459,26233.99,26392.84,7.57,0.01,0.00,576920.05,2341767.99,2.99,0.22,4153,4092,49655,49716,0,0
6200,6200,0,0,AGGREGATED,4405014.84,459,30044.22,30123.60,7.72,0.01,0.00,1076395.55,3563198.96,2.62,0.19,5179,5228,63388,63338,0,0,2
7692,7692,0,0,AGGREGATED,7427696.37,459,39384.31,39229.10,9.55,0.01,0.01,2550508.87,6336609.58,2.01,0.14,6640,6486,81058,81138,0,0,33
9192,9192,0,0,AGGREGATED,9544656.17,459,40971.82,40786.90,9.84,0.01,0.01,3189680.97,8192353.03,1.94,0.14,8186,7741,100222,100613,0,0,30
10684,10684,0,0,AGGREGATED,12654386.96,459,48055.98,47685.28,9.98,0.01,0.01,5594818.41,11119864.47,1.66,0.12,8142,9252,115089,113626,0,0,115
1712,1712,0,0,AGGREGATED,347028.67,459,11168.11,11550.04,1.27,0.00,0.00,35108.00,176421.44,6.84,0.49,1330,1354,13067,13043,0,0
3208,3208,0,0,AGGREGATED,1365445.56,459,21603.56,21798.05,4.52,0.00,0.00,288833.44,1006296.33,3.62,0.26,2362,2579,27914,27697,0,0
4708,4708,0,0,AGGREGATED,3127193.09,459,31076.51,31004.17,8.55,0.01,0.00,969277.85,2549058.48,2.55,0.18,3640,3796,43954,43798,0,0
6200,6200,0,0,AGGREGATED,5136673.35,459,37073.94,36882.28,10.34,0.01,0.01,2118838.86,4337981.76,2.14,0.15,4724,5236,60049,59361,0,0,36
7692,7692,0,0,AGGREGATED,6791829.89,459,40693.76,40389.58,10.97,0.01,0.01,2863926.64,5823335.57,1.96,0.14,5969,6012,73957,73719,0,0,60
9192,9192,0,0,AGGREGATED,8487115.23,459,41485.65,41160.83,9.42,0.01,0.01,3560036.42,7297908.86,1.92,0.14,6889,7513,89494,88804,0,0,35
10684,10684,0,0,AGGREGATED,12776948.16,459,51620.27,51080.79,11.66,0.01,0.01,6006628.05,11332154.36,1.55,0.11,8605,8428,108045,107951,0,0,132
1712,1712,0,0,AGGREGATED,363026.45,459,11098.40,11340.61,1.27,0.00,0.00,51631.00,179957.07,6.96,0.50,1394,1426,14044,14012,0,0
3208,3208,0,0,AGGREGATED,1207609.83,459,18175.62,18297.65,3.96,0.00,0.00,261350.00,827555.34,4.32,0.31,2474,2641,29694,29527,0,0
4708,4708,0,0,AGGREGATED,2892062.75,459,27176.47,27031.82,8.75,0.01,0.00,1114390.00,2276413.73,2.92,0.21,3980,3928,47008,47024,0,0,15
6200,6200,0,0,AGGREGATED,4361345.77,459,30455.70,30272.77,9.60,0.01,0.01,1565883.61,3531973.66,2.61,0.19,5185,5148,62434,62440,0,0,17
7692,7692,0,0,AGGREGATED,5929829.29,459,33918.42,33671.97,9.85,0.01,0.01,2145239.02,4914360.80,2.35,0.17,6337,6472,77841,77689,0,0,12
9192,9192,0,0,AGGREGATED,12631818.13,459,60290.22,59359.18,15.33,0.02,0.01,8128131.42,11402318.15,1.33,0.10,7142,7946,93983,92173,0,0,450
10684,10684,0,0,AGGREGATED,15594426.38,459,62525.21,61461.83,15.01,0.02,0.01,10193397.85,14125821.90,1.29,0.09,8195,9674,113959,111109,0,0,581
1712,1712,0,0,AGGREGATED,360315.77,459,10506.50,10673.67,1.27,0.00,0.00,62460.00,166844.90,7.40,0.53,1417,1442,15024,14999,0,0
3208,3208,0,0,AGGREGATED,1169090.03,459,17144.20,17139.11,3.83,0.00,0.00,369169.00,775849.98,4.61,0.33,2641,2698,30511,30449,0,0,4
4708,4708,0,0,AGGREGATED,2320249.21,459,22782.28,22642.90,7.32,0.01,0.00,846834.00,1730044.19,3.49,0.25,3829,3694,46133,46254,0,0,10
6200,6200,0,0,AGGREGATED,3439596.57,459,24110.45,23926.12,10.51,0.01,0.01,1347881.09,2612937.05,3.30,0.24,5210,5210,63856,63853,0,0,3
7692,7692,0,0,AGGREGATED,5116747.14,459,28807.17,28498.36,10.30,0.01,0.01,2356458.92,4081999.09,2.77,0.20,6527,6346,78678,78835,0,0,16
9192,9192,0,0,AGGREGATED,6740918.12,459,33713.47,33286.14,10.56,0.01,0.01,3405160.00,5571745.30,2.37,0.17,7576,7184,90546,90829,0,0,66
10684,10684,0,0,AGGREGATED,13163093.29,459,54422.30,53422.62,15.19,0.02,0.01,8941450.00,11738823.78,1.48,0.11,7514,9184,112450,109723,0,0,518
1712,1712,0,0,AGGREGATED,486366.81,459,13002.71,13473.69,1.77,0.00,0.00,75989.00,278915.80,5.86,0.42,1464,1492,16107,16079,0,0
3208,3208,0,0,AGGREGATED,1965731.45,459,26564.40,26711.60,5.81,0.01,0.00,552888.46,1541150.25,2.96,0.21,2798,2657,32316,32453,0,0,2
4708,4708,0,0,AGGREGATED,3332716.21,459,28558.44,28666.99,9.29,0.01,0.00,765182.00,2662858.22,2.76,0.20,4221,4131,50419,50509,0,0,1
6200,6200,0,0,AGGREGATED,4987062.73,459,32697.78,32692.54,7.55,0.01,0.00,1449678.00,4110033.98,2.42,0.17,5279,5551,66261,65961,0,0,14
7692,7692,0,0,AGGREGATED,9241596.23,459,49012.64,48620.89,13.25,0.01,0.01,4312098.86,8145322.61,1.62,0.12,6531,6382,82860,82386,0,0,210
9192,9192,0,0,AGGREGATED,10438079.66,459,44917.75,44634.49,11.44,0.01,0.01,4199170.52,9086997.50,1.77,0.13,7895,7758,100434,100403,0,0,45
10684,10684,0,0,AGGREGATED,13797300.96,459,53627.80,53152.38,11.81,0.01,0.01,6723250.54,12296720.69,1.49,0.11,8428,9359,113758,112403,0,0,193
1712,1712,0,0,AGGREGATED,403647.15,459,12147.10,12509.53,1.42,0.00,0.00,53182.00,219012.15,6.31,0.45,1379,1417,14131,14093,0,0
3208,3208,0,0,AGGREGATED,1793572.90,459,26740.16,26755.74,5.78,0.01,0.00,668597.00,1406721.82,2.95,0.21,2611,2527,29608,29654,0,0,19
4708,4708,0,0,AGGREGATED,3233873.34,459,30484.76,30424.84,8.18,0.01,0.00,1145618.75,2621726.24,2.60,0.19,3818,3836,46209,46189,0,0,2
6200,6200,0,0,AGGREGATED,4799745.41,459,32723.30,32626.25,9.28,0.01,0.00,1688608.00,3952464.20,2.42,0.17,5140,5360,63080,62815,0,0,20
7692,7692,0,0,AGGREGATED,6457680.58,459,37874.88,37658.73,10.35,0.01,0.01,2517657.91,5469093.79,2.10,0.15,5850,6124,76140,75830,0,0,28
9192,9192,0,0,AGGREGATED,10853182.98,459,49553.08,49052.88,14.13,0.02,0.01,4831846.30,9573843.41,1.61,0.12,7578,7418,96571,96556,0,0,72
10684,10684,0,0,AGGREGATED,15931426.66,459,60168.22,59450.80,15.42,0.02,0.01,8842225.85,14378717.53,1.33,0.10,9275,8318,114431,114298,0,0,387
1712,1712,0,0,AGGREGATED,417525.02,459,12575.75,12789.96,1.43,0.00,0.00,97198.00,230469.18,6.18,0.44,1400,1419,14364,14345,0,0
3208,3208,0,0,AGGREGATED,1595307.58,459,22022.98,22030.92,5.20,0.01,0.00,479266.00,1177425.57,3.59,0.26,2606,2837,32232,32001,0,0
4708,4708,0,0,AGGREGATED,3104880.00,459,28665.84,28524.69,9.19,0.01,0.00,1082973.93,2477886.30,2.77,0.20,3966,4007,47655,47611,0,0,1
6200,6200,0,0,AGGREGATED,4938093.73,459,34306.34,34010.82,10.25,0.01,0.01,2136849.00,4102998.03,2.32,0.17,5014,5366,64127,63737,0,0,23
7692,7692,0,0,AGGREGATED,8048015.97,459,45277.88,44705.93,10.55,0.01,0.01,4441842.66,7008473.22,1.77,0.13,6369,6560,78972,78462,0,0,145
9192,9192,0,0,AGGREGATED,9584392.21,459,45249.30,44653.68,11.83,0.01,0.01,5377094.80,8343198.06,1.77,0.13,7075,7926,96172,95020,0,0,195
10684,10684,0,0,AGGREGATED,11300730.19,459,45275.19,44694.65,10.52,0.01,0.01,6026286.63,9836581.41,1.77,0.13,8547,9429,112556,111201,0,0,245
1712,1712,0,0,AGGREGATED,442242.71,459,12833.31,12909.07,1.52,0.00,0.00,143329.00,245426.79,6.12,0.44,1417,1437,15291,15271,0,0
3208,3208,0,0,AGGREGATED,1688272.73,459,23794.34,23613.44,5.51,0.01,0.00,770537.00,1275252.06,3.34,0.24,2767,2767,31316,31306,0,0,5
4708,4708,0,0,AGGREGATED,2928180.94,459,27061.51,26826.15,7.11,0.01,0.00,1228899.15,2298375.55,2.94,0.21,4134,3991,47730,47866,0,0,7
6200,6200,0,0,AGGREGATED,5177573.79,459,36692.67,36168.13,10.12,0.01,0.01,2892752.00,4352998.78,2.18,0.16,5437,5144,63482,63589,0,0,132
7692,7692,0,0,AGGREGATED,6418046.28,459,35524.40,35042.61,12.10,0.01,0.01,3479955.00,5361464.58,2.25,0.16,6297,6731,81337,80826,0,0,41
9192,9192,0,0,AGGREGATED,10388838.99,459,45141.29,44444.22,14.52,0.02,0.01,6152101.00,9036619.29,1.78,0.13,7666,8208,102665,101807,0,0,150
10684,10684,0,0,AGGREGATED,10402005.20,459,40678.02,40055.91,11.92,0.01,0.01,6036837.33,8897262.70,1.97,0.14,9226,9592,114292,113727,0,0,142
